id,date_actual,Year,Quarter,Month,MonthName,MonthSort,DayOfWeek
1,2025-01-01,2025,Q1 2025,2025-01,Jan 2025,202501,Wednesday
2,2025-01-02,2025,Q1 2025,2025-01,Jan 2025,202501,Thursday
3,2025-01-03,2025,Q1 2025,2025-01,Jan 2025,202501,Friday
4,2025-01-04,2025,Q1 2025,2025-01,Jan 2025,202501,Saturday
5,2025-01-05,2025,Q1 2025,2025-01,Jan 2025,202501,Sunday
6,2025-01-06,2025,Q1 2025,2025-01,Jan 2025,202501,Monday
7,2025-01-07,2025,Q1 2025,2025-01,Jan 2025,202501,Tuesday
8,2025-01-08,2025,Q1 2025,2025-01,Jan 2025,202501,Wednesday
9,2025-01-09,2025,Q1 2025,2025-01,Jan 2025,202501,Thursday
10,2025-01-10,2025,Q1 2025,2025-01,Jan 2025,202501,Friday
11,2025-01-11,2025,Q1 2025,2025-01,Jan 2025,202501,Saturday
12,2025-01-12,2025,Q1 2025,2025-01,Jan 2025,202501,Sunday
13,2025-01-13,2025,Q1 2025,2025-01,Jan 2025,202501,Monday
14,2025-01-14,2025,Q1 2025,2025-01,Jan 2025,202501,Tuesday
15,2025-01-15,2025,Q1 2025,2025-01,Jan 2025,202501,Wednesday
16,2025-01-16,2025,Q1 2025,2025-01,Jan 2025,202501,Thursday
17,2025-01-17,2025,Q1 2025,2025-01,Jan 2025,202501,Friday
18,2025-01-18,2025,Q1 2025,2025-01,Jan 2025,202501,Saturday
19,2025-01-19,2025,Q1 2025,2025-01,Jan 2025,202501,Sunday
20,2025-01-20,2025,Q1 2025,2025-01,Jan 2025,202501,Monday
21,2025-01-21,2025,Q1 2025,2025-01,Jan 2025,202501,Tuesday
22,2025-01-22,2025,Q1 2025,2025-01,Jan 2025,202501,Wednesday
23,2025-01-23,2025,Q1 2025,2025-01,Jan 2025,202501,Thursday
24,2025-01-24,2025,Q1 2025,2025-01,Jan 2025,202501,Friday
25,2025-01-25,2025,Q1 2025,2025-01,Jan 2025,202501,Saturday
26,2025-01-26,2025,Q1 2025,2025-01,Jan 2025,202501,Sunday
27,2025-01-27,2025,Q1 2025,2025-01,Jan 2025,202501,Monday
28,2025-01-28,2025,Q1 2025,2025-01,Jan 2025,202501,Tuesday
