id,style_name,category,gender,material_family,unit_weight_kg,list_price,recycled_content_pct,circularity_score,take_back_eligible
3,body,SLIPPER,UNISEX,Natural Rubber,1.37,162.46,35.06,90,FALSE
6,simple,SNEAKER,UNISEX,Chrome-free Leather,0.47,97.24,65.59,89,FALSE
9,cell,FORMAL,MENS,Apple Leather,0.79,39.52,77.41,93,TRUE
12,office,BOOT,WOMENS,Organic Cotton,1.34,135.51,12.42,20,TRUE
15,question,RUNNING,MENS,Natural Rubber,1.19,186.78,0.11,61,TRUE
18,start,SANDAL,UNISEX,Organic Cotton,1.59,69.0,53.05,1,FALSE
21,safe,SNEAKER,MENS,Natural Rubber,1.12,190.45,28.49,88,TRUE
24,court,SNEAKER,WOMENS,Bio-EVA,0.86,215.18,42.09,69,FALSE
27,at,RUNNING,MENS,Bio-EVA,0.77,146.37,20.32,19,FALSE
30,yet,SANDAL,WOMENS,Hemp Canvas,1.24,73.4,95.3,66,FALSE
33,finally,RUNNING,WOMENS,Recycled Nylon,0.6,72.04,77.33,73,FALSE
36,strong,SNEAKER,KIDS,Bio-EVA,1.39,159.02,11.94,86,FALSE
39,analysis,RUNNING,MENS,Cork,1.33,80.04,90.04,97,FALSE
42,force,SLIPPER,KIDS,Organic Cotton,0.74,48.22,23.15,66,TRUE
45,teacher,SANDAL,WOMENS,Bio-EVA,0.49,81.57,77.99,74,TRUE
48,environment,FORMAL,WOMENS,Hemp Canvas,1.56,122.21,4.9,38,TRUE
51,radio,BOOT,MENS,Algae Foam,0.71,209.68,2.18,8,TRUE
54,heavy,SNEAKER,WOMENS,Recycled Nylon,0.44,169.03,24.58,37,TRUE
57,anyone,FORMAL,MENS,Chrome-free Leather,0.62,105.96,21.9,99,TRUE
60,glass,SANDAL,UNISEX,Natural Rubber,1.11,208.3,69.76,75,TRUE
63,successful,SNEAKER,WOMENS,Hemp Canvas,1.5,216.3,32.36,2,TRUE
66,visit,BOOT,WOMENS,Apple Leather,1.23,234.06,78.7,28,FALSE
69,less,BOOT,KIDS,Organic Cotton,1.29,88.98,98.24,21,FALSE
72,group,RUNNING,MENS,Algae Foam,0.52,139.69,86.41,83,FALSE
75,role,FORMAL,MENS,Cork,1.18,166.54,43.42,6,TRUE
78,window,BOOT,MENS,Natural Rubber,0.43,74.87,29.18,10,TRUE
81,example,SNEAKER,MENS,Organic Cotton,1.2,208.72,41.4,96,FALSE
84,short,BOOT,MENS,Organic Cotton,1.31,75.3,98.44,27,FALSE
87,law,FORMAL,WOMENS,Hemp Canvas,1.11,203.15,11.25,19,TRUE
90,couple,SNEAKER,MENS,Hemp Canvas,0.45,225.81,33.15,30,TRUE
93,full,RUNNING,MENS,Natural Rubber,0.65,212.03,74.09,97,FALSE
96,generation,RUNNING,WOMENS,Chrome-free Leather,0.96,122.36,92.31,87,TRUE
99,follow,FORMAL,MENS,Hemp Canvas,0.72,125.0,2.01,99,FALSE
102,series,RUNNING,MENS,Recycled Rubber,1.1,40.54,99.94,47,FALSE
105,road,SANDAL,MENS,Recycled Rubber,1.22,190.47,65.54,37,TRUE
108,likely,FORMAL,WOMENS,Organic Cotton,0.55,93.32,80.83,97,FALSE
111,true,BOOT,MENS,Natural Rubber,0.54,181.95,52.98,52,TRUE
114,possible,SNEAKER,UNISEX,Natural Rubber,1.32,141.81,76.36,11,TRUE
117,purpose,FORMAL,WOMENS,Organic Cotton,1.0,103.28,6.53,5,TRUE
120,art,SNEAKER,UNISEX,Recycled Rubber,0.6,115.98,65.05,4,TRUE
123,public,RUNNING,MENS,Recycled Rubber,0.72,166.18,13.72,13,FALSE
126,must,SNEAKER,MENS,Recycled Nylon,1.4,179.49,14.91,11,FALSE
129,respond,FORMAL,UNISEX,Recycled PET,0.57,174.91,32.87,56,FALSE
132,character,SLIPPER,UNISEX,Organic Cotton,1.49,140.36,56.89,56,TRUE
135,resource,SANDAL,MENS,Natural Rubber,1.55,222.36,51.91,88,FALSE
138,already,RUNNING,WOMENS,Apple Leather,0.46,85.77,64.33,51,FALSE
141,eat,FORMAL,MENS,Recycled Rubber,0.95,110.58,82.53,28,FALSE
144,hit,FORMAL,MENS,TENCEL Lyocell,1.29,124.93,25.43,25,TRUE
147,our,RUNNING,MENS,Recycled PET,1.52,215.15,48.29,65,FALSE
150,class,RUNNING,WOMENS,Chrome-free Leather,1.24,196.17,29.89,89,FALSE
153,hospital,SANDAL,MENS,Algae Foam,1.53,188.13,67.42,68,TRUE
156,source,SNEAKER,UNISEX,Organic Cotton,1.44,194.29,86.48,95,FALSE
159,certain,FORMAL,MENS,Natural Rubber,1.16,188.0,36.77,75,FALSE
162,information,RUNNING,KIDS,Recycled PET,1.51,164.34,77.37,80,FALSE
165,family,RUNNING,WOMENS,Apple Leather,1.14,138.72,56.13,96,FALSE
168,agree,RUNNING,UNISEX,Cork,0.45,227.64,19.25,65,TRUE
171,money,SANDAL,WOMENS,Hemp Canvas,0.43,189.54,3.79,9,TRUE
174,white,SANDAL,WOMENS,Apple Leather,0.53,204.25,30.14,11,TRUE
177,everybody,SLIPPER,WOMENS,Recycled Nylon,0.57,47.77,57.27,50,FALSE
180,score,FORMAL,KIDS,Apple Leather,0.95,154.43,29.07,8,TRUE
183,population,SANDAL,KIDS,Natural Rubber,0.78,203.99,71.22,82,TRUE
186,whom,FORMAL,WOMENS,Recycled PET,0.42,145.51,3.12,74,FALSE
189,can,RUNNING,WOMENS,Natural Rubber,1.56,245.19,68.42,96,FALSE
192,back,RUNNING,MENS,Cork,0.46,244.92,32.41,90,FALSE
195,way,RUNNING,UNISEX,Recycled Nylon,0.41,224.23,43.99,29,TRUE
198,begin,SNEAKER,MENS,Organic Cotton,1.16,47.23,57.23,7,TRUE
201,through,SANDAL,UNISEX,Natural Rubber,1.19,94.55,72.42,43,FALSE
204,hand,SNEAKER,MENS,Organic Cotton,1.12,212.78,89.7,99,FALSE
207,oil,SANDAL,KIDS,Organic Cotton,1.12,153.18,25.78,0,FALSE
210,vote,BOOT,UNISEX,Chrome-free Leather,1.34,140.32,37.02,71,TRUE
213,coach,BOOT,WOMENS,Chrome-free Leather,1.16,207.92,82.33,60,FALSE
216,within,FORMAL,KIDS,Algae Foam,0.63,203.63,51.05,89,TRUE
219,contain,SANDAL,KIDS,Chrome-free Leather,1.56,97.07,60.64,24,TRUE
222,movie,SANDAL,UNISEX,Apple Leather,0.95,135.75,58.68,3,TRUE
225,deep,FORMAL,MENS,Chrome-free Leather,1.47,95.51,94.71,87,FALSE
228,economic,RUNNING,WOMENS,Cork,1.14,142.39,98.54,73,FALSE
231,agree,BOOT,MENS,Hemp Canvas,0.41,83.26,58.1,41,TRUE
234,page,BOOT,UNISEX,Hemp Canvas,1.36,155.62,85.63,25,TRUE
237,suggest,SNEAKER,WOMENS,Recycled Nylon,0.52,195.36,25.98,46,FALSE
240,population,FORMAL,MENS,Bio-EVA,1.16,69.42,16.76,43,TRUE
243,attorney,RUNNING,WOMENS,Recycled Nylon,0.55,88.27,25.16,95,FALSE
246,series,SNEAKER,WOMENS,Recycled Rubber,0.56,215.09,2.86,84,TRUE
249,never,RUNNING,UNISEX,Cork,0.67,57.81,30.79,52,TRUE
252,it,SNEAKER,UNISEX,Cork,0.7,189.14,64.6,48,TRUE
255,back,RUNNING,MENS,Cork,0.78,70.95,96.97,2,TRUE
258,quality,SLIPPER,WOMENS,TENCEL Lyocell,0.49,137.73,19.22,32,FALSE
261,man,SNEAKER,UNISEX,Hemp Canvas,1.06,64.65,48.12,38,TRUE
264,guy,RUNNING,WOMENS,Organic Cotton,0.51,168.92,93.08,97,FALSE
267,them,SNEAKER,MENS,Algae Foam,1.05,141.92,56.67,69,TRUE
270,push,RUNNING,MENS,Bio-EVA,0.48,242.1,81.9,24,FALSE
273,special,SANDAL,MENS,Algae Foam,1.24,92.75,36.64,77,FALSE
276,morning,SANDAL,UNISEX,Recycled PET,0.66,148.09,10.12,29,FALSE
279,around,RUNNING,MENS,Algae Foam,1.12,235.04,90.25,70,FALSE
282,national,SLIPPER,MENS,Algae Foam,1.59,102.39,30.03,28,TRUE
285,community,RUNNING,MENS,Algae Foam,0.66,55.21,32.47,61,TRUE
288,worry,SNEAKER,MENS,Recycled Rubber,0.41,202.26,38.25,39,FALSE
291,half,BOOT,WOMENS,Chrome-free Leather,0.5,144.38,77.38,16,FALSE
294,natural,SNEAKER,WOMENS,Recycled Rubber,1.32,74.54,34.97,56,FALSE
297,throughout,RUNNING,MENS,Bio-EVA,1.29,83.49,54.64,96,TRUE
