id,product_nk,style_name,category,gender,material_family,unit_weight_kg,list_price,recycled_content_pct,circularity_score,take_back_eligible,valid_from,valid_to,is_current
1,1,realize,SANDAL,MENS,TENCEL Lyocell,0.45,189.99,54.64,54,TRUE,2023-01-01,2024-01-01,FALSE
2,1,production,SANDAL,UNISEX,Bio-EVA,1.6,133.44,34.86,11,TRUE,2024-01-01,2024-12-31,FALSE
3,1,body,SLIPPER,UNISEX,Natural Rubber,1.37,162.46,35.06,90,FALSE,2024-12-31,9999-12-31,TRUE
4,2,sport,RUNNING,MENS,TENCEL Lyocell,1.38,208.14,57.01,68,TRUE,2023-01-01,2024-01-01,FALSE
5,2,party,RUNNING,WOMENS,Hemp Canvas,0.75,95.14,85.8,86,FALSE,2024-01-01,2024-12-31,FALSE
6,2,simple,SNEAKER,UNISEX,Chrome-free Leather,0.47,97.24,65.59,89,FALSE,2024-12-31,9999-12-31,TRUE
7,3,something,SNEAKER,MENS,TENCEL Lyocell,1.31,181.01,48.95,73,FALSE,2023-01-01,2024-01-01,FALSE
8,3,go,BOOT,MENS,Recycled PET,1.35,200.47,40.29,95,TRUE,2024-01-01,2024-12-31,FALSE
9,3,cell,FORMAL,MENS,Apple Leather,0.79,39.52,77.41,93,TRUE,2024-12-31,9999-12-31,TRUE
10,4,another,SLIPPER,MENS,Hemp Canvas,1.42,206.09,39.77,54,FALSE,2023-01-01,2024-01-01,FALSE
11,4,he,RUNNING,WOMENS,Bio-EVA,1.06,66.42,85.24,100,TRUE,2024-01-01,2024-12-31,FALSE
12,4,office,BOOT,WOMENS,Organic Cotton,1.34,135.51,12.42,20,TRUE,2024-12-31,9999-12-31,TRUE
13,5,ground,SNEAKER,KIDS,Natural Rubber,1.23,66.7,65.0,20,FALSE,2023-01-01,2024-01-01,FALSE
14,5,teach,FORMAL,WOMENS,Chrome-free Leather,0.5,178.55,64.89,6,TRUE,2024-01-01,2024-12-31,FALSE
15,5,question,RUNNING,MENS,Natural Rubber,1.19,186.78,0.11,61,TRUE,2024-12-31,9999-12-31,TRUE
16,6,continue,BOOT,MENS,Cork,0.41,111.15,12.06,54,FALSE,2023-01-01,2024-01-01,FALSE
17,6,then,RUNNING,WOMENS,Organic Cotton,1.37,60.67,36.76,38,TRUE,2024-01-01,2024-12-31,FALSE
18,6,start,SANDAL,UNISEX,Organic Cotton,1.59,69.0,53.05,1,FALSE,2024-12-31,9999-12-31,TRUE
19,7,reveal,SNEAKER,WOMENS,Natural Rubber,1.3,232.18,61.61,56,FALSE,2023-01-01,2024-01-01,FALSE
20,7,majority,SNEAKER,WOMENS,TENCEL Lyocell,1.11,119.65,96.32,40,FALSE,2024-01-01,2024-12-31,FALSE
21,7,safe,SNEAKER,MENS,Natural Rubber,1.12,190.45,28.49,88,TRUE,2024-12-31,9999-12-31,TRUE
22,8,measure,SANDAL,UNISEX,Natural Rubber,1.13,78.62,39.18,82,TRUE,2023-01-01,2024-01-01,FALSE
23,8,program,FORMAL,KIDS,Cork,0.54,143.91,59.39,67,FALSE,2024-01-01,2024-12-31,FALSE
24,8,court,SNEAKER,WOMENS,Bio-EVA,0.86,215.18,42.09,69,FALSE,2024-12-31,9999-12-31,TRUE
25,9,talk,SANDAL,KIDS,TENCEL Lyocell,0.42,53.18,26.22,5,FALSE,2023-01-01,2024-01-01,FALSE
26,9,central,FORMAL,MENS,Bio-EVA,1.26,200.09,42.36,51,TRUE,2024-01-01,2024-12-31,FALSE
27,9,at,RUNNING,MENS,Bio-EVA,0.77,146.37,20.32,19,FALSE,2024-12-31,9999-12-31,TRUE
28,10,sense,RUNNING,MENS,Recycled Nylon,1.22,52.88,69.87,93,FALSE,2023-01-01,2024-01-01,FALSE
29,10,stand,SNEAKER,WOMENS,Apple Leather,0.54,167.58,5.5,85,FALSE,2024-01-01,2024-12-31,FALSE
30,10,yet,SANDAL,WOMENS,Hemp Canvas,1.24,73.4,95.3,66,FALSE,2024-12-31,9999-12-31,TRUE
31,11,lot,SANDAL,WOMENS,Chrome-free Leather,1.3,222.43,73.29,15,FALSE,2023-01-01,2024-01-01,FALSE
32,11,although,SNEAKER,UNISEX,Bio-EVA,0.48,188.59,57.67,9,TRUE,2024-01-01,2024-12-31,FALSE
33,11,finally,RUNNING,WOMENS,Recycled Nylon,0.6,72.04,77.33,73,FALSE,2024-12-31,9999-12-31,TRUE
34,12,defense,SNEAKER,UNISEX,Recycled PET,1.43,41.58,4.6,46,TRUE,2023-01-01,2024-01-01,FALSE
35,12,animal,SNEAKER,KIDS,Recycled Nylon,1.06,230.93,74.07,53,TRUE,2024-01-01,2024-12-31,FALSE
36,12,strong,SNEAKER,KIDS,Bio-EVA,1.39,159.02,11.94,86,FALSE,2024-12-31,9999-12-31,TRUE
37,13,decision,SNEAKER,UNISEX,Apple Leather,1.54,53.47,46.51,36,FALSE,2023-01-01,2024-01-01,FALSE
38,13,various,RUNNING,WOMENS,Cork,0.84,100.23,78.45,94,FALSE,2024-01-01,2024-12-31,FALSE
39,13,analysis,RUNNING,MENS,Cork,1.33,80.04,90.04,97,FALSE,2024-12-31,9999-12-31,TRUE
40,14,four,SNEAKER,KIDS,Recycled PET,1.05,172.55,69.35,1,FALSE,2023-01-01,2024-01-01,FALSE
41,14,worker,SNEAKER,MENS,Recycled Nylon,1.27,60.83,52.98,30,TRUE,2024-01-01,2024-12-31,FALSE
42,14,force,SLIPPER,KIDS,Organic Cotton,0.74,48.22,23.15,66,TRUE,2024-12-31,9999-12-31,TRUE
43,15,myself,FORMAL,MENS,Hemp Canvas,1.1,145.14,63.72,50,TRUE,2023-01-01,2024-01-01,FALSE
44,15,information,BOOT,MENS,Apple Leather,0.68,93.81,31.5,50,FALSE,2024-01-01,2024-12-31,FALSE
45,15,teacher,SANDAL,WOMENS,Bio-EVA,0.49,81.57,77.99,74,TRUE,2024-12-31,9999-12-31,TRUE
46,16,of,SNEAKER,MENS,Bio-EVA,0.54,114.24,77.03,57,TRUE,2023-01-01,2024-01-01,FALSE
47,16,material,SNEAKER,WOMENS,Organic Cotton,1.22,212.54,69.69,5,TRUE,2024-01-01,2024-12-31,FALSE
