id,name,country,region,sustainability_rating,renewable_energy_pct,zero_waste_certified
3,Rodriguez LLC,INDONESIA,ASIA,C,42.3,FALSE
6,Spence PLC,INDIA,ASIA,D,15.74,FALSE
9,Hickman Ltd,CHINA,ASIA,C,93.47,TRUE
12,Walker LLC,MEXICO,AMERICA,B,26.52,FALSE
15,Jones Inc,PORTUGAL,EUROPE,C,93.89,TRUE
18,"Johnston, Sanchez and Kennedy",SPAIN,EUROPE,B,42.36,TRUE
21,"Brown, Valdez and Lucas",SPAIN,EUROPE,D,58.25,TRUE
24,"West, Henderson and Ramirez",ITALY,EUROPE,C,15.46,FALSE
27,Williams PLC,PORTUGAL,EUROPE,D,10.81,FALSE
30,Hancock Inc,ITALY,EUROPE,B,64.15,TRUE
33,Henderson-Bernard,BRAZIL,AMERICA,C,51.14,TRUE
36,"Daniels, Adkins and Brown",VIETNAM,ASIA,B,31.39,FALSE
39,Jones Inc,SPAIN,EUROPE,B,54.79,TRUE
42,Sandoval-Cunningham,VIETNAM,ASIA,C,63.29,TRUE
45,"Evans, Stewart and Walton",CHINA,ASIA,B,69.64,TRUE
48,Anderson-Bailey,VIETNAM,ASIA,D,45.65,FALSE
51,"Turner, Riggs and Roman",SPAIN,EUROPE,C,25.92,TRUE
54,Newton and Sons,VIETNAM,ASIA,C,70.64,TRUE
57,Wagner-King,INDONESIA,ASIA,B,75.35,FALSE
60,Walsh LLC,BRAZIL,AMERICA,B,46.74,TRUE
63,"Mckee, Gardner and Davenport",VIETNAM,ASIA,D,37.91,FALSE
66,Nolan and Sons,PORTUGAL,EUROPE,B,2.04,TRUE
69,Hancock and Sons,PORTUGAL,EUROPE,B,2.57,TRUE
72,"Shields, Cochran and Adams",INDIA,ASIA,E,78.26,TRUE
75,Torres-Pope,BRAZIL,AMERICA,D,96.55,TRUE
78,Rasmussen LLC,INDONESIA,ASIA,C,37.9,TRUE
81,White-Estes,VIETNAM,ASIA,C,75.82,FALSE
84,"Joyce, Wilson and Lam",CHINA,ASIA,B,70.29,TRUE
87,"Mcdaniel, Bentley and Mclaughlin",MEXICO,AMERICA,B,10.05,TRUE
90,Cortez LLC,CHINA,ASIA,C,46.94,TRUE
93,"Bentley, Byrd and Orr",CHINA,ASIA,E,11.85,FALSE
96,"Lawson, Morris and Ramos",INDIA,ASIA,E,20.78,TRUE
99,"Harvey, Davis and Crane",BRAZIL,AMERICA,C,92.39,FALSE
102,Riggs PLC,INDONESIA,ASIA,C,28.86,TRUE
105,Hernandez Ltd,VIETNAM,ASIA,D,57.52,FALSE
108,"Holmes, Williams and Wright",INDIA,ASIA,B,34.8,TRUE
111,Salazar-Ball,INDONESIA,ASIA,C,51.46,FALSE
114,Green-Wright,SPAIN,EUROPE,C,12.14,FALSE
117,"Mitchell, Nelson and Flores",ITALY,EUROPE,C,50.89,TRUE
120,Russell-Daniels,PORTUGAL,EUROPE,E,50.77,FALSE
123,"Smith, Gilmore and Johnston",CHINA,ASIA,B,69.75,FALSE
126,Medina-Navarro,CHINA,ASIA,C,59.02,FALSE
129,"Yates, Ramsey and Pittman",INDONESIA,ASIA,C,85.18,FALSE
132,"Alvarado, Miller and Patterson",MEXICO,AMERICA,C,9.84,FALSE
135,Ramirez-Bean,CHINA,ASIA,B,7.9,FALSE
138,Walker-Jones,INDIA,ASIA,C,34.56,FALSE
141,Wells Inc,MEXICO,AMERICA,E,65.82,TRUE
144,"Higgins, Strickland and Martin",INDONESIA,ASIA,C,67.78,FALSE
147,Sanders-Espinoza,INDONESIA,ASIA,B,13.22,FALSE
150,"Burke, Martinez and Riggs",VIETNAM,ASIA,B,96.65,FALSE
153,Short-Garcia,INDIA,ASIA,D,94.03,TRUE
