id,supplier_nk,name,country,region,sustainability_rating,renewable_energy_pct,zero_waste_certified,valid_from,valid_to,is_current
1,1,Ryan PLC,MEXICO,AMERICA,D,16.63,TRUE,2023-01-01,2024-01-01,FALSE
2,1,George Group,VIETNAM,ASIA,A,37.9,FALSE,2024-01-01,2024-12-31,FALSE
3,1,Rodriguez LLC,INDONESIA,ASIA,C,42.3,FALSE,2024-12-31,9999-12-31,TRUE
4,2,Allen-Allen,MEXICO,AMERICA,C,15.48,TRUE,2023-01-01,2024-01-01,FALSE
5,2,"Arroyo, Miller and Tucker",MEXICO,AMERICA,C,74.8,TRUE,2024-01-01,2024-12-31,FALSE
6,2,Spence PLC,INDIA,ASIA,D,15.74,FALSE,2024-12-31,9999-12-31,TRUE
7,3,Anderson Group,VIETNAM,ASIA,C,67.52,TRUE,2023-01-01,2024-01-01,FALSE
8,3,"Martin, Rose and Obrien",VIETNAM,ASIA,B,59.45,FALSE,2024-01-01,2024-12-31,FALSE
9,3,Hickman Ltd,CHINA,ASIA,C,93.47,TRUE,2024-12-31,9999-12-31,TRUE
10,4,"Harris, Collins and Carney",BRAZIL,AMERICA,C,67.17,TRUE,2023-01-01,2024-01-01,FALSE
11,4,"Brooks, Lam and Hayes",INDONESIA,ASIA,A,45.83,FALSE,2024-01-01,2024-12-31,FALSE
12,4,Walker LLC,MEXICO,AMERICA,B,26.52,FALSE,2024-12-31,9999-12-31,TRUE
13,5,Chapman and Sons,ITALY,EUROPE,C,15.77,FALSE,2023-01-01,2024-01-01,FALSE
14,5,"Robinson, Jones and Welch",BRAZIL,AMERICA,E,65.4,TRUE,2024-01-01,2024-12-31,FALSE
15,5,Jones Inc,PORTUGAL,EUROPE,C,93.89,TRUE,2024-12-31,9999-12-31,TRUE
16,6,Jones-Young,VIETNAM,ASIA,C,27.23,FALSE,2023-01-01,2024-01-01,FALSE
17,6,"Washington, Ryan and Cummings",BRAZIL,AMERICA,C,26.4,TRUE,2024-01-01,2024-12-31,FALSE
18,6,"Johnston, Sanchez and Kennedy",SPAIN,EUROPE,B,42.36,TRUE,2024-12-31,9999-12-31,TRUE
19,7,Lee-Davis,VIETNAM,ASIA,C,26.2,FALSE,2023-01-01,2024-01-01,FALSE
20,7,Gomez-Jenkins,CHINA,ASIA,A,7.52,FALSE,2024-01-01,2024-12-31,FALSE
21,7,"Brown, Valdez and Lucas",SPAIN,EUROPE,D,58.25,TRUE,2024-12-31,9999-12-31,TRUE
22,8,Powell LLC,VIETNAM,ASIA,D,79.61,FALSE,2023-01-01,2024-01-01,FALSE
23,8,Wright and Sons,SPAIN,EUROPE,B,10.28,FALSE,2024-01-01,2024-12-31,FALSE
24,8,"West, Henderson and Ramirez",ITALY,EUROPE,C,15.46,FALSE,2024-12-31,9999-12-31,TRUE
25,9,Baxter Inc,ITALY,EUROPE,D,88.14,TRUE,2023-01-01,2024-01-01,FALSE
26,9,Morton-Chase,BRAZIL,AMERICA,E,80.22,FALSE,2024-01-01,2024-12-31,FALSE
27,9,Williams PLC,PORTUGAL,EUROPE,D,10.81,FALSE,2024-12-31,9999-12-31,TRUE
28,10,Novak and Sons,ITALY,EUROPE,D,46.03,TRUE,2023-01-01,2024-01-01,FALSE
29,10,Russell Group,PORTUGAL,EUROPE,A,19.31,TRUE,2024-01-01,2024-12-31,FALSE
30,10,Hancock Inc,ITALY,EUROPE,B,64.15,TRUE,2024-12-31,9999-12-31,TRUE
31,11,Gray Group,MEXICO,AMERICA,E,11.53,FALSE,2023-01-01,2024-01-01,FALSE
32,11,House-Glover,VIETNAM,ASIA,B,10.84,TRUE,2024-01-01,2024-12-31,FALSE
33,11,Henderson-Bernard,BRAZIL,AMERICA,C,51.14,TRUE,2024-12-31,9999-12-31,TRUE
