order_line_id,dim_date_id,dim_customer_id,dim_product_id,dim_supplier_id,dim_factory_id,dim_ship_mode_id,order_ts,channel,quantity,unit_price,discount,line_revenue,embodied_co2e_kg_per_unit,transport_co2e_kg_per_unit,packaging_waste_kg_per_unit,manufacturing_waste_kg_per_unit,line_co2e_kg,line_waste_kg,co2e_per_revenue_dollar,offset_purchased,return_flag
1,191,3480,1044,72,29,6,2025-07-10 06:45:21,WEB,3,81.66,0.22,191.08,3.8631,0.0,0.02,0.32,11.589,1.02,0.0606,TRUE,NONE
2,40,954,1083,366,28,6,2025-02-09 03:51:26,WEB,1,70.68,0.07,65.73,3.8344,0.0,0.13,0.47,3.834,0.6,0.0583,TRUE,NONE
3,170,2750,1326,105,6,2,2025-06-19 08:15:31,WEB,1,133.52,0.07,124.17,4.9796,0.1411,0.15,0.19,5.121,0.34,0.0412,TRUE,NONE
4,120,789,1593,129,29,5,2025-04-30 08:02:48,WEB,3,155.44,0.19,377.72,7.0222,0.0023,0.06,0.51,21.074,1.71,0.0558,FALSE,NONE
5,271,216,2226,84,38,4,2025-09-28 12:07:37,RETAIL,3,130.15,0.04,374.83,13.8348,0.3024,0.24,0.19,42.412,1.29,0.1131,TRUE,NONE
6,154,3081,1065,240,36,3,2025-06-03 04:33:07,APP,3,227.78,0.19,553.51,13.4015,1.8876,0.17,0.4,45.867,1.71,0.0829,FALSE,EXCHANGED
7,301,4699,2379,291,10,3,2025-10-28 11:32:37,APP,1,223.93,0.2,179.14,4.1048,1.5576,0.01,0.32,5.662,0.33,0.0316,FALSE,RETURNED
8,445,2056,978,273,10,3,2026-03-21 22:10:08,RETAIL,2,41.35,0.06,77.74,6.8603,1.6896,0.14,0.26,17.1,0.8,0.22,FALSE,NONE
9,289,4611,2169,21,23,2,2025-10-16 17:16:05,APP,2,208.96,0.27,305.08,16.2119,0.1901,0.09,0.03,32.804,0.24,0.1075,TRUE,NONE
10,556,4435,924,417,4,2,2026-07-10 10:57:46,APP,3,42.9,0.26,95.24,13.1134,0.1973,0.11,0.1,39.932,0.63,0.4193,FALSE,NONE
11,113,143,1347,9,32,1,2025-04-23 03:57:34,APP,1,165.39,0.34,109.16,7.2699,13.104,0.08,0.56,20.374,0.64,0.1866,TRUE,RETURNED
12,282,2535,1014,264,30,4,2025-10-09 11:45:22,APP,3,90.59,0.27,198.39,13.5167,0.5141,0.2,0.26,42.092,1.38,0.2122,TRUE,NONE
13,254,1340,2307,195,12,6,2025-09-11 03:40:39,APP,2,189.36,0.08,348.42,11.3326,0.0,0.13,0.04,22.665,0.34,0.0651,FALSE,NONE
14,414,4678,168,168,27,4,2026-02-18 05:33:04,RETAIL,1,233.02,0.09,212.05,5.4502,0.1512,0.02,0.28,5.601,0.3,0.0264,FALSE,RETURNED
15,347,4730,2079,228,25,6,2025-12-13 00:31:19,APP,4,46.01,0.12,161.96,6.684,0.0,0.03,0.48,26.736,2.04,0.1651,TRUE,NONE
16,295,3505,987,228,17,6,2025-10-22 23:12:24,RETAIL,4,91.37,0.02,358.17,6.1156,0.0,0.25,0.13,24.462,1.52,0.0683,TRUE,NONE
17,381,978,1794,384,36,2,2026-01-16 07:10:58,APP,1,61.82,0.35,40.18,7.5224,0.1944,0.05,0.28,7.717,0.33,0.1921,TRUE,NONE
18,161,2817,1281,63,18,3,2025-06-10 16:31:41,MARKETPLACE,4,221.87,0.16,745.48,27.8439,0.8448,0.17,0.47,114.755,2.56,0.1539,FALSE,NONE
19,249,3314,1650,120,31,6,2025-09-06 16:30:42,RETAIL,1,153.54,0.23,118.23,34.9915,0.0,0.14,0.05,34.992,0.19,0.296,TRUE,NONE
20,9,4155,429,210,24,4,2025-01-09 04:06:25,WEB,1,225.91,0.28,162.66,14.0705,0.4603,0.17,0.04,14.531,0.21,0.0893,FALSE,NONE
21,369,3295,759,285,34,2,2026-01-04 14:13:48,APP,4,82.1,0.24,249.58,1.7742,0.0835,0.14,0.15,7.431,1.16,0.0298,FALSE,RETURNED
22,436,2146,2313,102,6,5,2026-03-12 03:33:22,WEB,4,230.29,0.27,672.45,10.433,0.0017,0.19,0.02,41.739,0.84,0.0621,TRUE,NONE
23,73,4298,942,144,37,1,2025-03-14 17:08:24,RETAIL,4,99.11,0.14,340.94,10.059,13.608,0.06,0.42,94.668,1.92,0.2777,TRUE,RETURNED
24,44,1916,1947,333,9,6,2025-02-13 00:29:29,WEB,4,209.06,0.27,610.46,1.9254,0.0,0.09,0.14,7.702,0.92,0.0126,FALSE,NONE
25,514,4383,1023,18,12,1,2026-05-29 13:24:24,WEB,4,52.33,0.02,205.13,3.8077,6.174,0.03,0.44,39.927,1.88,0.1946,FALSE,NONE
26,388,1266,2094,255,20,5,2026-01-23 18:07:08,WHOLESALE,4,72.57,0.32,197.39,11.2466,0.0012,0.03,0.22,44.991,1.0,0.2279,TRUE,NONE
27,137,3939,2202,39,12,5,2025-05-17 14:13:20,APP,2,132.29,0.22,206.37,9.7434,0.0013,0.23,0.35,19.489,1.16,0.0944,FALSE,EXCHANGED
28,406,1506,1836,333,34,1,2026-02-10 21:49:09,WEB,3,91.48,0.11,244.25,9.1135,10.584,0.13,0.11,59.092,0.72,0.2419,FALSE,RETURNED
29,535,3594,687,324,20,5,2026-06-19 19:55:45,APP,1,110.54,0.28,79.59,8.8442,0.0013,0.19,0.15,8.846,0.34,0.1111,TRUE,NONE
30,174,4527,123,36,37,3,2025-06-23 23:36:48,APP,1,247.94,0.1,223.15,13.4656,0.9504,0.14,0.6,14.416,0.74,0.0646,TRUE,NONE
31,507,305,2304,105,27,2,2026-05-22 18:42:36,WEB,4,103.59,0.12,364.64,6.0355,0.1526,0.14,0.59,24.752,2.92,0.0679,TRUE,NONE
32,463,1065,1854,237,27,1,2026-04-08 10:49:13,RETAIL,2,167.36,0.23,257.73,6.4219,7.686,0.07,0.34,28.216,0.82,0.1095,FALSE,NONE
33,232,3888,1197,39,27,5,2025-08-20 02:27:05,APP,2,240.19,0.15,408.32,8.8747,0.0023,0.07,0.45,17.754,1.04,0.0435,FALSE,NONE
34,359,4155,1116,183,15,3,2025-12-25 06:21:17,APP,4,189.04,0.31,521.75,6.0602,0.6732,0.16,0.58,26.934,2.96,0.0516,FALSE,NONE
35,300,4203,786,228,19,3,2025-10-27 19:41:31,APP,2,78.92,0.22,123.12,9.8956,2.112,0.04,0.17,24.015,0.42,0.1951,TRUE,NONE
36,209,4068,255,81,8,4,2025-07-28 04:25:53,RETAIL,2,168.75,0.28,243.0,6.2107,0.2621,0.03,0.25,12.946,0.56,0.0533,TRUE,NONE
37,564,3590,1686,108,11,5,2026-07-18 22:02:07,WEB,2,214.15,0.18,351.21,8.5036,0.0022,0.08,0.3,17.012,0.76,0.0484,TRUE,NONE
38,323,79,2100,375,25,3,2025-11-19 11:52:03,WEB,1,42.19,0.14,36.28,30.5794,1.5972,0.15,0.55,32.177,0.7,0.8869,TRUE,NONE
39,527,1696,849,348,6,2,2026-06-11 22:49:55,WEB,3,45.78,0.24,104.38,5.1652,0.1339,0.05,0.54,15.897,1.77,0.1523,TRUE,EXCHANGED
40,56,3673,1494,189,21,4,2025-02-25 21:44:12,WEB,4,83.56,0.05,317.53,1.958,0.4267,0.23,0.31,9.539,2.16,0.03,FALSE,NONE
41,143,3231,243,447,22,3,2025-05-23 11:05:03,APP,3,63.32,0.2,151.97,2.0448,0.726,0.11,0.24,8.312,1.05,0.0547,TRUE,RETURNED
42,529,2809,795,42,29,4,2026-06-13 01:35:44,APP,2,100.59,0.24,152.9,11.2602,0.2554,0.15,0.32,23.031,0.94,0.1506,TRUE,NONE
43,295,3700,1347,237,22,3,2025-10-22 06:47:19,WEB,1,119.75,0.07,111.37,14.4524,1.3728,0.02,0.13,15.825,0.15,0.1421,FALSE,NONE
44,69,4981,1785,303,26,4,2025-03-10 11:33:40,RETAIL,1,146.92,0.27,107.25,5.1918,0.4368,0.04,0.39,5.629,0.43,0.0525,TRUE,EXCHANGED
45,203,4313,1824,135,22,1,2025-07-22 04:29:40,WEB,4,64.4,0.2,206.08,7.7128,9.45,0.02,0.12,68.651,0.56,0.3331,FALSE,RETURNED
46,474,181,1194,153,14,1,2026-04-19 07:54:45,RETAIL,1,205.13,0.1,184.62,22.5309,6.174,0.21,0.37,28.705,0.58,0.1555,FALSE,EXCHANGED
47,542,1520,1404,207,25,5,2026-06-26 21:29:51,APP,2,51.05,0.22,79.64,13.1493,0.0023,0.22,0.59,26.303,1.62,0.3303,TRUE,NONE
48,497,895,216,147,7,2,2026-05-12 08:01:41,APP,4,140.49,0.13,488.91,4.4147,0.0907,0.15,0.42,18.022,2.28,0.0369,TRUE,NONE
49,472,2223,1569,246,14,4,2026-04-17 20:30:35,WEB,4,138.05,0.11,491.46,15.5641,0.4939,0.2,0.04,64.232,0.96,0.1307,FALSE,NONE
50,159,1338,2205,363,40,6,2025-06-08 22:11:55,WEB,3,81.71,0.32,166.69,11.9204,0.0,0.15,0.25,35.761,1.2,0.2145,TRUE,NONE
51,510,3170,1995,141,35,5,2026-05-25 17:35:17,APP,4,165.53,0.0,662.12,19.0023,0.002,0.07,0.55,76.017,2.48,0.1148,FALSE,NONE
52,315,1961,1326,300,3,6,2025-11-11 11:34:46,RETAIL,3,167.08,0.24,380.94,10.0995,0.0,0.08,0.29,30.299,1.11,0.0795,TRUE,NONE
53,521,2815,618,246,36,4,2026-06-05 13:02:55,WEB,3,92.03,0.29,196.02,8.4785,0.336,0.23,0.28,26.444,1.53,0.1349,FALSE,RETURNED
54,184,1016,1035,198,1,2,2025-07-03 17:20:06,APP,2,245.13,0.33,328.47,3.3552,0.1987,0.14,0.37,7.108,1.02,0.0216,FALSE,NONE
55,84,4587,1527,276,32,4,2025-03-25 08:31:43,APP,4,114.23,0.04,438.64,12.1431,0.3998,0.06,0.49,50.172,2.2,0.1144,FALSE,EXCHANGED
56,446,3702,1959,357,20,6,2026-03-22 03:33:23,RETAIL,2,58.32,0.34,76.98,11.27,0.0,0.11,0.26,22.54,0.74,0.2928,FALSE,RETURNED
